"id","username","email","address","tel","avatar_path","avatar_timestamp","preference_vector","preference_timestamp"
"11","alice","123@gmail.com","","1231231234",,,"0.97847 2.95786 0.00000 0.97841","1691205551391"
"12","bob","456@gmail.com","","",,,"1.00000 3.00000 0.00000 1.00000","1691205551391"
"13","""aaa""","""aaa""","","",,,,
"654340098","alice","123alice@gmail.com","Room404, Not Found Rd, London","1234567890",,,,
"1686711327449489410","1233","23412","","",,,,
"1686711662456938498","12334","234122","","",,,,
"1686712368517685250","12334","123@gmail","","",,,,
"1692238137490763777","pat3","pat3@qq.com","","123456","/upload/avatar/customer/1692238137490763777.","1692295987045",,
"1692240784025284609","pat4","pat4@qq.com","","123456",,,,
"1692241069376368642","pat5","pat5@qq.com","","123","/upload/avatar/customer/1692241069376368642.jpg","1692296686019",,
"1692470327654756354","ryanNew","111111@gmail.com","","222222",,,"20.12727 1.93330 0.00000 0.97478","1692365231367"
"1692481821024989186","pat1","pat1@qq.com","","","/upload/avatar/customer/1692481821024989186.jpg","1692354085647","2.78753 0.00000 0.00000 0.87439","1692372881321"
